,GeneID,EC#,EC,Superpathway
0,gi|284047386|ref|NC_013740.1|:c1753819-1752638|905|g__Acidaminococcus.s__Acidaminococcus_fermentans|UniRef90_D2RLJ3|UniRef50_C7XRX0,ec:0.0.0.0,,
34,gi|390945347|ref|NC_018011.1|:3076348-3076941|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPQ6|UniRef50_R7JPB9,ec:0.0.0.0,,
35,gi|390945347|ref|NC_018011.1|:c3575480-3574902|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQX1|UniRef50_Q9AGG3,ec:0.0.0.0,,
36,gi|390945347|ref|NC_018011.1|:2700697-2701512|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YNV4|UniRef50_Q5LI89,ec:4.2.1.126,ec:4.2.1.126,Carbohydrate metabolism
36,gi|390945347|ref|NC_018011.1|:2700697-2701512|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YNV4|UniRef50_Q5LI89,ec:4.2.1.126,ec:4.2.1.126,Global and overview maps
37,gi|390945347|ref|NC_018011.1|:1924018-1924842|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM19|UniRef50_B1ZNE5,ec:0.0.0.0,,
38,gi|390945347|ref|NC_018011.1|:c1095797-1094976|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YK56|UniRef50_I3YK56,ec:0.0.0.0,,
39,gi|390945347|ref|NC_018011.1|:2127984-2128811|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YMK0|UniRef50_I3YMK0,ec:0.0.0.0,,
40,gi|390945347|ref|NC_018011.1|:c2894285-2893494|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPA9|UniRef50_Q7MB61,ec:3.5.99.6,ec:3.5.99.6,Carbohydrate metabolism
40,gi|390945347|ref|NC_018011.1|:c2894285-2893494|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPA9|UniRef50_Q7MB61,ec:3.5.99.6,ec:3.5.99.6,Global and overview maps
41,gi|390945347|ref|NC_018011.1|:c1929672-1928878|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM30|UniRef50_I3YM30,ec:0.0.0.0,,
42,gi|390945347|ref|NC_018011.1|:c1860405-1859599|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_D4IME9|UniRef50_R7DI58,ec:0.0.0.0,,
43,gi|390945347|ref|NC_018011.1|:c3303180-3302374|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQA3|UniRef50_I3YQA3,ec:0.0.0.0,,
44,gi|390945347|ref|NC_018011.1|:c1677750-1676887|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YLI1|UniRef50_I3YLI1,ec:0.0.0.0,,
45,gi|390945347|ref|NC_018011.1|:612336-613193|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YIW5|UniRef50_I3YIW5,ec:0.0.0.0,,
46,gi|390945347|ref|NC_018011.1|:c3214362-3213643|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQ28|UniRef50_I3YQ28,ec:0.0.0.0,,
47,gi|390945347|ref|NC_018011.1|:1966159-1966875|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R6YBI7|UniRef50_R6YBI7,ec:2.1.1.163,ec:2.1.1.163,Metabolism of cofactors and vitamins
47,gi|390945347|ref|NC_018011.1|:1966159-1966875|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R6YBI7|UniRef50_R6YBI7,ec:2.1.1.163,ec:2.1.1.163,Global and overview maps
47,gi|390945347|ref|NC_018011.1|:1966159-1966875|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R6YBI7|UniRef50_R6YBI7,ec:2.1.1.163,ec:2.1.1.163,Global and overview maps
48,gi|390945347|ref|NC_018011.1|:c1209242-1208526|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YKE7|UniRef50_H1ZDU4,ec:0.0.0.0,,
49,gi|390945347|ref|NC_018011.1|:c1751265-1750381|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YLN8|UniRef50_R5MP62,ec:0.0.0.0,,
50,gi|390945347|ref|NC_018011.1|:c3568415-3567678|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQW5|UniRef50_R6VQK0,ec:1.1.1.25,ec:1.1.1.25,Amino acid metabolism
50,gi|390945347|ref|NC_018011.1|:c3568415-3567678|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQW5|UniRef50_R6VQK0,ec:1.1.1.25,ec:1.1.1.25,Global and overview maps
50,gi|390945347|ref|NC_018011.1|:c3568415-3567678|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQW5|UniRef50_R6VQK0,ec:1.1.1.25,ec:1.1.1.25,Global and overview maps
50,gi|390945347|ref|NC_018011.1|:c3568415-3567678|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQW5|UniRef50_R6VQK0,ec:1.1.1.25,ec:1.1.1.25,Global and overview maps
51,gi|390945347|ref|NC_018011.1|:457691-458428|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YII3|UniRef50_I3YII3,ec:0.0.0.0,,
52,gi|390945347|ref|NC_018011.1|:3307713-3308411|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQA9|UniRef50_Q9ZAB8,ec:0.0.0.0,,
53,gi|390945347|ref|NC_018011.1|:2294577-2295275|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YMY2|UniRef50_Q2JFI8,ec:0.0.0.0,,
54,gi|390945347|ref|NC_018011.1|:c2849989-2849294|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YP68|UniRef50_I3YP68,ec:0.0.0.0,,
55,gi|390945347|ref|NC_018011.1|:c3696628-3695924|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YR77|UniRef50_U5WIT1,ec:1.11.1.15,ec:1.11.1.15,Metabolism of other amino acids
55,gi|390945347|ref|NC_018011.1|:c3696628-3695924|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YR77|UniRef50_U5WIT1,ec:1.11.1.15,ec:1.11.1.15,Global and overview maps
56,gi|390945347|ref|NC_018011.1|:c548270-547530|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YIQ7|UniRef50_I3YIQ7,ec:0.0.0.0,,
57,gi|390945347|ref|NC_018011.1|:3085625-3086377|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_D4IL63|UniRef50_Q55791,ec:0.0.0.0,,
58,gi|390945347|ref|NC_018011.1|:c878063-877533|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJM9|UniRef50_I3YJM9,ec:0.0.0.0,,
59,gi|390945347|ref|NC_018011.1|:c1379536-1379264|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YKT5|UniRef50_Q11U60,ec:0.0.0.0,,
60,gi|390945347|ref|NC_018011.1|:3213271-3213513|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R6Y4C7|UniRef50_R7DIX0,ec:0.0.0.0,,
61,gi|390945347|ref|NC_018011.1|:c1989851-1989591|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R5V4S6|UniRef50_F9Z6D6,ec:0.0.0.0,,
62,gi|390945347|ref|NC_018011.1|:c3144189-3143869|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPW5|UniRef50_R6WTC0,ec:0.0.0.0,,
63,gi|390945347|ref|NC_018011.1|:c1989588-1989274|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R6Z736|UniRef50_R6Z736,ec:0.0.0.0,,
64,gi|390945347|ref|NC_018011.1|:c3569867-3569550|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQW7|UniRef50_R7JKC0,ec:0.0.0.0,,
65,gi|390945347|ref|NC_018011.1|:c864944-864621|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJL4|UniRef50_I3YI05,ec:0.0.0.0,,
66,gi|390945347|ref|NC_018011.1|:1423403-1423729|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YKX1|UniRef50_I3YKX1,ec:0.0.0.0,,
67,gi|390945347|ref|NC_018011.1|:1923722-1924012|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM18|UniRef50_R6E932,ec:0.0.0.0,,
68,gi|390945347|ref|NC_018011.1|:c2115507-2115349|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YMI1|UniRef50_I3YMI1,ec:0.0.0.0,,
69,gi|390945347|ref|NC_018011.1|:c678824-678639|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJ24|UniRef50_Q64NV0,ec:0.0.0.0,,
70,gi|390945347|ref|NC_018011.1|:824945-825136|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJG1|UniRef50_I3YJG1,ec:0.0.0.0,,
71,gi|390945347|ref|NC_018011.1|:2861536-2861640|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YP80|UniRef50_I3YP80,ec:0.0.0.0,,
72,gi|390945347|ref|NC_018011.1|:2000802-2000957|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM98|UniRef50_I3YM98,ec:0.0.0.0,,
73,gi|390945347|ref|NC_018011.1|:1373140-1373364|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YKT0|UniRef50_R5W7X8,ec:0.0.0.0,,
74,gi|390945347|ref|NC_018011.1|:c3700091-3699864|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YR82|UniRef50_I4C814,ec:0.0.0.0,,
75,gi|390945347|ref|NC_018011.1|:2012537-2012773|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YMA8|UniRef50_I3YMA8,ec:0.0.0.0,,
76,gi|390945347|ref|NC_018011.1|:3107052-3107516|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPT6|UniRef50_R5WVB2,ec:0.0.0.0,,
77,gi|390945347|ref|NC_018011.1|:c3686039-3685575|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YR68|UniRef50_I3YR68,ec:0.0.0.0,,
78,gi|390945347|ref|NC_018011.1|:c320040-319573|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YI88|UniRef50_R6XYY8,ec:0.0.0.0,,
79,gi|390945347|ref|NC_018011.1|:c1981581-1981105|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM78|UniRef50_I3YM78,ec:0.0.0.0,,
80,gi|390945347|ref|NC_018011.1|:c1689268-1688798|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YLJ0|UniRef50_R5IFD7,ec:0.0.0.0,,
81,gi|390945347|ref|NC_018011.1|:1090500-1090943|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YK50|UniRef50_I3YK50,ec:0.0.0.0,,
82,gi|390945347|ref|NC_018011.1|:3033249-3033755|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPM8|UniRef50_Q8KED5,ec:0.0.0.0,,
83,gi|390945347|ref|NC_018011.1|:c1018149-1017640|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJY4|UniRef50_B2RHU7,ec:0.0.0.0,,
84,gi|390945347|ref|NC_018011.1|:1013060-1013437|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJY0|UniRef50_C1F934,ec:0.0.0.0,,
85,gi|390945347|ref|NC_018011.1|:123015-123359|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YHP4|UniRef50_Q2RNH9,ec:0.0.0.0,,
86,gi|390945347|ref|NC_018011.1|:1930788-1931150|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM33|UniRef50_Q1D759,ec:0.0.0.0,,
87,gi|390945347|ref|NC_018011.1|:1259342-1259695|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YKJ0|UniRef50_R5V9A8,ec:0.0.0.0,,
88,gi|390945347|ref|NC_018011.1|:1926371-1926799|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM23|UniRef50_A6LEI4,ec:0.0.0.0,,
89,gi|390945347|ref|NC_018011.1|:c3096092-3095685|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R5UER1|UniRef50_R5UER1,ec:0.0.0.0,,
90,gi|390945347|ref|NC_018011.1|:1108794-1109195|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YK70|UniRef50_I3YK70,ec:0.0.0.0,,
91,gi|390945347|ref|NC_018011.1|:3199749-3201350|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQ13|UniRef50_I3YQ13,ec:0.0.0.0,,
92,gi|390945347|ref|NC_018011.1|:c1350493-1348886|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R7JHR5|UniRef50_B7MDM9,ec:4.1.1.49,ec:4.1.1.49,Carbohydrate metabolism
92,gi|390945347|ref|NC_018011.1|:c1350493-1348886|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R7JHR5|UniRef50_B7MDM9,ec:4.1.1.49,ec:4.1.1.49,Carbohydrate metabolism
92,gi|390945347|ref|NC_018011.1|:c1350493-1348886|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R7JHR5|UniRef50_B7MDM9,ec:4.1.1.49,ec:4.1.1.49,Carbohydrate metabolism
92,gi|390945347|ref|NC_018011.1|:c1350493-1348886|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R7JHR5|UniRef50_B7MDM9,ec:4.1.1.49,ec:4.1.1.49,Energy metabolism
92,gi|390945347|ref|NC_018011.1|:c1350493-1348886|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R7JHR5|UniRef50_B7MDM9,ec:4.1.1.49,ec:4.1.1.49,Global and overview maps
92,gi|390945347|ref|NC_018011.1|:c1350493-1348886|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R7JHR5|UniRef50_B7MDM9,ec:4.1.1.49,ec:4.1.1.49,Global and overview maps
92,gi|390945347|ref|NC_018011.1|:c1350493-1348886|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R7JHR5|UniRef50_B7MDM9,ec:4.1.1.49,ec:4.1.1.49,Global and overview maps
92,gi|390945347|ref|NC_018011.1|:c1350493-1348886|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R7JHR5|UniRef50_B7MDM9,ec:4.1.1.49,ec:4.1.1.49,Global and overview maps
93,gi|390945347|ref|NC_018011.1|:73253-74842|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YHL1|UniRef50_I3YHL1,ec:0.0.0.0,,
94,gi|390945347|ref|NC_018011.1|:3211509-3213098|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQ26|UniRef50_I3YQ26,ec:0.0.0.0,,
95,gi|390945347|ref|NC_018011.1|:1371510-1373147|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YKS9|UniRef50_I3YKS9,ec:0.0.0.0,,
96,gi|390945347|ref|NC_018011.1|:c1026968-1025337|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R7JKW6|UniRef50_A1WZJ2,ec:0.0.0.0,,
97,gi|390945347|ref|NC_018011.1|:c2676863-2675313|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YNT7|UniRef50_R6IM62,ec:0.0.0.0,,
98,gi|390945347|ref|NC_018011.1|:c3285838-3284291|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQ84|UniRef50_R6JDG7,ec:0.0.0.0,,
99,gi|390945347|ref|NC_018011.1|:2868823-2870391|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YP88|UniRef50_I3YP88,ec:0.0.0.0,,
100,gi|390945347|ref|NC_018011.1|:2016561-2018114|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_D4IMU7|UniRef50_B8HE54,ec:2.1.1.72,,
101,gi|390945347|ref|NC_018011.1|:c480326-478770|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YIJ8|UniRef50_R7H225,ec:0.0.0.0,,
102,gi|390945347|ref|NC_018011.1|:c1683415-1681649|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R6VF69|UniRef50_R7EQT9,ec:0.0.0.0,,
103,gi|390945347|ref|NC_018011.1|:3100865-3102595|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPS9|UniRef50_R6VG03,ec:0.0.0.0,,
104,gi|390945347|ref|NC_018011.1|:c883091-881343|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YHY6|UniRef50_I3YHY6,ec:0.0.0.0,,
105,gi|390945347|ref|NC_018011.1|:c544018-542270|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YIQ4|UniRef50_I3YIQ4,ec:0.0.0.0,,
106,gi|390945347|ref|NC_018011.1|:c2166532-2164718|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YMN3|UniRef50_I3YMN3,ec:0.0.0.0,,
107,gi|390945347|ref|NC_018011.1|:2701493-2703304|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YNV5|UniRef50_R6XTF5,ec:0.0.0.0,,
108,gi|390945347|ref|NC_018011.1|:2515179-2516999|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YNF9|UniRef50_Q8A2N9,ec:0.0.0.0,,
109,gi|390945347|ref|NC_018011.1|:c2350500-2348833|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YN19|UniRef50_I3YN19,ec:0.0.0.0,,
110,gi|390945347|ref|NC_018011.1|:c2168214-2166556|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_D4IIN0|UniRef50_R6W532,ec:0.0.0.0,,
111,gi|390945347|ref|NC_018011.1|:c1376713-1374992|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YKT3|UniRef50_R6VXG1,ec:0.0.0.0,,
112,gi|390945347|ref|NC_018011.1|:c3043453-3041768|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPN9|UniRef50_I3YPN9,ec:0.0.0.0,,
113,gi|390945347|ref|NC_018011.1|:c1852906-1851497|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YLV8|UniRef50_R5WTP1,ec:0.0.0.0,,
114,gi|390945347|ref|NC_018011.1|:c3515733-3514342|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQS0|UniRef50_I0K5J6,ec:5.4.2.10,ec:5.4.2.10,Carbohydrate metabolism
114,gi|390945347|ref|NC_018011.1|:c3515733-3514342|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQS0|UniRef50_I0K5J6,ec:5.4.2.10,ec:5.4.2.10,Global and overview maps
114,gi|390945347|ref|NC_018011.1|:c3515733-3514342|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQS0|UniRef50_I0K5J6,ec:5.4.2.10,ec:5.4.2.10,Global and overview maps
115,gi|390945347|ref|NC_018011.1|:c2880287-2878899|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YP97|UniRef50_R5AV72,ec:0.0.0.0,,
116,gi|390945347|ref|NC_018011.1|:c3131996-3130608|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPV1|UniRef50_R5B531,ec:0.0.0.0,,
117,gi|390945347|ref|NC_018011.1|:512544-513887|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YIL8|UniRef50_R7JJX6,ec:6.3.4.19,,
118,gi|390945347|ref|NC_018011.1|:c2162281-2160944|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YMN1|UniRef50_R6VL17,ec:0.0.0.0,,
119,gi|390945347|ref|NC_018011.1|:c2821459-2820104|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YP40|UniRef50_I3YP40,ec:0.0.0.0,,
120,gi|390945347|ref|NC_018011.1|:3068253-3069764|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPP9|UniRef50_I3YPP9,ec:0.0.0.0,,
121,gi|390945347|ref|NC_018011.1|:404725-406146|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YIE4|UniRef50_P25888,ec:3.6.4.13,,
122,gi|390945347|ref|NC_018011.1|:3169110-3170561|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPY4|UniRef50_Q8A7B0,ec:0.0.0.0,,
