name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteroides cellulosilyticus	246787	species	7054480	6	6	0.0
Gloeobacter violaceus PCC 7421	251221	leaf	4656966	1	1	0.0
Ethanoligenens harbinense	253239	species	32464	52	52	0.0
uncultured Peptoniphilus sp.	254354	species	115936	2	2	0.0
Bacteroides fragilis NCTC 9343	272559	leaf	5200507	1	1	0.0
uncultured Shigella sp.	286134	species	520192	1	1	0.0
uncultured Dorea sp.	286138	species	129157	1	1	0.0
Segniliparus rotundus	286802	species	6027	1	1	0.0
uncultured Alicyclobacillus sp.	290599	species	201945	1	1	0.0
uncultured candidate division JS1 bacterium	292451	species	320545	1	1	0.0
Flavonifractor plautii	292800	species	3834814	73	73	6.0741e-06
Bacteroides fragilis YCH46	295405	leaf	5311185	9	9	9.79228e-07
uncultured Lachnospiraceae bacterium	297314	species	5377870	2	2	0.0
Enterobacter ludwigii	299767	species	5440692	1	1	0.0
Roseburia hominis	301301	species	4621	27	27	0
uncultured Erysipelothrix sp.	310610	species	162630	1	1	0.0
Alistipes shahii	328814	species	3692	88	88	0
Truepera radiovictrix	332249	species	0	1	1	0.0
Oscillibacter valericigenes	351091	species	7159	1	1	0.0
Bacteroides dorei	357276	species	16309144	9	9	1.58901e-07
Lachnoclostridium phytofermentans ISDg	357809	leaf	4769437	2	2	0.0
[Bacteroides] pectinophilus	384638	species	5944	6	6	0.0
Salinimicrobium catena	390640	species	1487	1	1	0.0
Thermosipho melanesiensis BI429	391009	leaf	1804959	1	1	0.0
[Polyangium] brachysporum	413882	species	6456816	1	1	0.0
Bacteroides vulgatus ATCC 8482	435590	leaf	5134038	2	2	0.0
Parabacteroides distasonis ATCC 8503	435591	leaf	4806911	45	45	9.4226e-07
Erysipelatoclostridium ramosum DSM 1402	445974	leaf	5090	1	1	0.0
Adlercreutzia equolifaciens	446660	species	14678	6	6	4.63549e-05
Bacteroides sp. EBA5-17	447029	species	1289	1	1	0.0
Cryptobacterium curtum DSM 15641	469378	leaf	1616633	1	1	0.0
Veillonella parvula DSM 2008	479436	leaf	2126334	11	11	3.0908e-07
Eggerthella lenta DSM 2243	479437	leaf	3595954	12	12	1.979e-06
Candidatus Riesia pediculicola USDA	515618	leaf	523784	1	1	0.0
[Eubacterium rectale] ATCC 33656	515619	leaf	3416466	10	10	3.78816e-07
[Eubacterium] eligens ATCC 27750	515620	leaf	2811293	699	699	1.1509e-06
Lentzea sp. 173591	516963	species	1440	2	2	0.0
uncultured bacterium AD45-G12	526659	species	43201	2	2	0.0
uncultured bacterium AD66-C11	526661	species	35217	1	1	0.0
Clostridium carboxidivorans P7	536227	leaf	5555804	1	1	0.0
uncultured Alistipes sp.	538949	species	151494	2	2	0.0
Ruminococcaceae	541000	family	0	3	3	0.0
uncultured Ruminococcaceae bacterium	541003	species	2880250	1	1	0.0
uncultured bacterium HF0500_16O16	542511	species	36660	1	1	0.0
uncultured bacterium OMZ60_11L23	542553	species	31677	2	2	0.0
Actinomyces oris	544580	species	3358565	1	1	0.0
Neisseria elongata subsp. glycolytica ATCC 29315	546263	leaf	2241661	1	1	2.88636e-07
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	547043	leaf	2322091	1	1	0.0
Bacillus sp. B-WPhG5	548761	species	981	1	1	0.0
Thermosediminibacter oceani DSM 16646	555079	leaf	2257987	1	1	0.0
Laribacter hongkongensis HLHK9	557598	leaf	3160205	2	2	0.0
Kyrpidia tusciae DSM 2912	562970	leaf	3380940	3	3	0.0
Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	566552	leaf	2094012	8	8	1.55199e-06
Blautia	572511	genus	0	3	3	0.0
Roseburia hominis A2-183	585394	leaf	3574524	38	38	1.81147e-07
Clostridium sp. enrichment culture clone 7-14	598552	species	35199	2	2	0.0
Clostridium sp. enrichment culture clone 7-25	598553	species	29438	2	2	0.0
Olsenella umbonata	604330	species	2336854	3	3	0.0
Bifidobacterium kashiwanohense	630129	species	15523	9	9	0.000727808
Deferribacter desulfuricans SSM1	639282	leaf	2393354	1	1	0.0
Candidatus Armantifilum devescovinae	641636	species	11504	1	1	0.0
Syntrophobotulus glycolicus DSM 8271	645991	leaf	3372523	1	1	0.0
Anaerostipes hadrus	649756	species	2996996	16	16	2.15932e-06
Prevotella sp. oral taxon 299	652716	species	5226	1	1	0.0
Halanaerobium hydrogeniformans	656519	species	2494312	1	1	0.0
Ruminococcus torques L2-14	657313	leaf	3237353	86	86	1.99893e-06
Blautia obeum A2-162	657314	leaf	3647038	12	12	0.0
Roseburia intestinalis M50/1	657315	leaf	4004714	3	3	3.23339e-07
[Eubacterium] rectale M104/1	657317	leaf	3520971	6	6	0.0
[Eubacterium] rectale DSM 17629	657318	leaf	3225798	1	1	0.0
[Eubacterium] siraeum 70/3	657319	leaf	2845470	1	1	0.0
Ruminococcus bromii L2-63	657321	leaf	2203448	97	97	1.04137e-05
Faecalibacterium prausnitzii SL3/3	657322	leaf	3154245	99	99	1.8761e-06
Ruminococcus sp. SR1/5	657323	species	3470752	5	5	1.91416e-07
Ethanoligenens harbinense YUAN-3	663278	leaf	3012158	1	1	0.0
Spirochaeta thermophila DSM 6192	665571	leaf	2404815	1	1	0.0
Alistipes finegoldii DSM 17242	679935	leaf	3722462	95	95	3.47748e-07
Staphylococcus aureus subsp. aureus ED98	681288	leaf	2794550	3	3	0.0
Bacteroides helcogenes P 36-108	693979	leaf	3975784	1	1	0.0
Ruminococcus albus 7 = DSM 20455	697329	leaf	4475986	22	22	0.0
uncultured bacterium 98	698395	species	30556	1	1	0.0
Mageeibacillus indolicus UPII9-5	699246	leaf	1795558	1	1	0.0
uncultured delta proteobacterium HF0010_01J10	710820	species	36280	1	1	0.0
Leptotrichia sp. oral taxon 212	712357	species	2229000	2	2	0.0
[Clostridium] cf. saccharolyticum K10	717608	leaf	3572363	44	44	0.0
[Eubacterium] siraeum V10Sc8a	717961	leaf	2758132	1	1	0.0
Coprococcus catus GD/7	717962	leaf	3434885	11	11	0.0
Faecalibacterium prausnitzii L2-6	718252	leaf	3238694	18	18	1.21759e-06
Roseburia intestinalis XB6B4	718255	leaf	4110890	25	25	1.88988e-06
uncultured gamma proteobacterium HF0500_32L01	723574	species	25006	1	1	0.0
Sphingobacterium sp. 21	743722	species	6161663	1	1	0.0
Coprococcus sp. ART55/1	751585	species	2871838	4	4	0.0
Shigella dysenteriae 1617	754093	leaf	4465293	2	2	0.0
Pseudopedobacter saltans DSM 12145	762903	leaf	4572934	1	1	0.0
Halobacteriovorax marinus SJ	862908	leaf	3417023	1	1	0.0
Desulfitobacterium dichloroeliminans LMG P-21439	871963	leaf	3615346	3	3	0.0
Porphyromonas asaccharolytica DSM 20707	879243	leaf	2196842	1	1	0.0
Bifidobacterium bifidum S17	883062	leaf	2181840	1	1	0.0
Desulfomicrobium orale DSM 12838	888061	leaf	2773003	4	4	0.0
Eubacterium sulci ATCC 35585	888727	leaf	1729972	8	8	3.74161e-07
bacterium enrichment culture clone YYS4	904135	species	143	1	1	0.0
Negativicutes	909932	class	0	1	1	0.0
[Clostridium] propionicum DSM 1682	991789	leaf	3078881	1	1	0.0
Klebsiella sp. YXA1-5	1040958	species	1442	1	1	0.0
Clostridium sp. SY8519	1042156	species	2816338	10	10	0.0
Thermacetogenium phaeum DSM 12270	1089553	leaf	2934474	1	1	0.0
Burkholderia sp. YI23	1097668	species	8727918	1	1	0.0
Terrisporobacter glycolicus ATCC 14880 = DSM 1288	1121315	leaf	3105	2	2	0
Corynebacterium halotolerans YIM 70093 = DSM 44683	1121362	leaf	3205577	1	1	0.0
Leptotrichiaceae	1129771	family	0	1	1	0.0
bacterium NLAE-zl-C139	1145407	species	1410	1	1	0.0
bacterium NLAE-zl-C233	1145501	species	1414	1	1	0.0
Bifidobacterium kashiwanohense JCM 15439 = DSM 21854	1150460	leaf	2352959	5	5	8.28271e-07
Ruminococcus bicirculans	1160721	species	2939565	54	54	5.45083e-06
Pseudomonas sp. HJ-34-4	1160803	species	1396	1	1	0.00121865
Ruminococcus champanellensis	1161942	species	0	6	6	0.0
Synechococcus sp. PCC 7502	1173263	species	3565725	23	23	0.0
bacterium NLAE-zl-G124	1189653	species	1410	1	1	0.0
Gilliamella apicola	1196095	species	3215319	1	1	0.0
Salimicrobium jeotgali	1230341	species	2758861	1	1	0.0
Clostridium tetani 12124569	1231072	leaf	2659580	2	2	0.0
Bacillus atrophaeus UCMB-5137	1239783	leaf	4014680	1	1	1.61142e-07
Peptoclostridium acidaminophilum DSM 3953	1286171	leaf	3063954	1	1	0.0
Intestinimonas butyriciproducens	1297617	species	3366159	57	57	0.0
Bradyrhizobium sp. OHSU_III	1297865	species	5435	1	1	0.0
bacterium L21-Spi-D4	1307839	species	4731117	1	1	0.0
Adlercreutzia equolifaciens DSM 19450	1384484	leaf	2846826	7	7	6.81791e-07
uncultured bacterium Contigcl_8	1393678	species	30278	3	3	0.0
Mycoplasma californicum HAZ160_1	1397850	leaf	745943	3	3	0.0
Hymenobacter sp. DG5B	1411621	species	4844504	8	8	0.0
Clostridium baratii str. Sullivan	1415775	leaf	3091565	1	1	0.0
uncultured bacterium ctg7180000001449	1425164	species	1349	2	2	0.0
Pantoea sp. 207a	1495554	species	1493	1	1	0.0
Lachnoclostridium	1506553	genus	0	5	5	0.0
Tyzzerella	1506577	genus	0	1	1	0.0
Ruminiclostridium	1508657	genus	0	1	1	0.0
Candidatus Izimaplasma sp. HR1	1541959	species	1847343	1	1	0.0
Herbinix luporum	1679721	species	2552537	7	7	0.0
Microbacterium sp. No. 7	1714373	species	4655317	1	1	0.0
Erysipelotrichaceae bacterium MTC7	1768196	species	5072	1	1	0.0
Bosea sp. PAMC 26642	1792307	species	5486717	1	1	0.0
Bacteroides sp. I48	1796613	species	4806320	20	20	6.76667e-07
Blautia sp. YL58	1796616	species	5081762	27	27	0.0
Lachnoclostridium sp. YL32	1834196	species	7179477	98	98	2.70335e-07
Ruminiclostridium sp. KB18	1834198	species	3787212	6	6	0.0
Burkholderiales bacterium YL45	1834205	species	2900227	11	11	0.0
Erysipelotrichaceae bacterium I46	1834207	species	4429622	1	1	1.46044e-07
Stappia sp. ES.058	1881061	species	4607023	1	1	0.0
Erwiniaceae	1903409	family	0	1	1	0.0
